Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Diamond Spring,"Johnston County, Pontotoc County",Oklahoma,Donation/support to local cause,2020,Apex Clean Energy / ALLETE Clean Energy,112,303.0,,"- In 2021, ALLETE Clean Energy and other companies provided $105,000 in grants to the Roff, Sulphur and Tishomingo school districts near the Diamond Spring wind site. The grants were used for pandemic-related expenses related to remote learning and safety, including computers and internet access for students and teachers, and personal protective equipment for school staff and students. ALLETE Clean Energy donated $73,000 for the three school district grants, with the other funds coming from law firms, a construction engineering firm, Apex Clean Energy, and a construction contractor for the wind project.  

- In 2020, ALLETE Clean Energy, GE Renewable Energy, and Wanzek provided a $50,000 grant to the Mill Creek School District. The school district will use most of the money to support remote learning through the purchase of 70 iPads for students and 16 laptops for teachers. 

- Diamond Spring Wind has supported community organizations, including Mill Creek Future Farmers of America & 4H students.","https://alletecleanenergy.com/OurCompany/OurCulture, https://alletecleanenergy.com/Content/Documents/PressReleases/press-release-020521.pdf,  https://alletecleanenergy.com/Content/Documents/PressReleases/press-release-081320.pdf",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Drift Sand,Grady County,Oklahoma,Donation/support to local cause,2016,Enel Green Power,54,108.0,Non-financial,"- In 2019, Enel Green Power presented $70,440 in financial support toward education, quality of life, and emergency response efforts in Rush Springs and Chickasha. In Rush Springs, this included $23,500 to Rush Springs Public Schools toward the purchase of 110 laptops for students; $5,000 to the local Lions Club for the town's signature annual Watermelon Festival; $20,000 for infrastructure upgrades throughout the town; and $8,500 toward training initiatives at the Rush Springs Fire Department. In Chickasha, $13,440 was given to the University of Science and Arts of Oklahoma to support student nutrition through the Campus Co-Op food pantry, performing arts experiences for low-income communities through the Davis Waldorf Performing Arts Series, service to local clients at the John A. Morris Speech and Language Clinic, wnr learning and research opportunities through the USAO Observatory.

- In 2018, Enel donated to Chickasha Public Schools and Rush Springs Public Schools. Chickasha planned to use the funds for STEM related programs for grades pre-K through high school, including the high school robotics team. Rush Springs planned to use funding to support their Alpha Plus educational program for elementary, middle, and high school students.

- In 2016, Enel supported the Rush Springs School District's One-to-One technology program that provides laptops to students, enabling the school to purchase 50 laptops.

- Enel has provided renewable energy training to teachers.","https://www.chickashanews.com/community/enel-green-power-helps-fund-community-needs-in-grady-county/article_50ba371a-6d00-11e9-b146-0b43db00e9af.html, https://journalrecord.com/2019/05/usao-receives-financial-support-from-renewable-company/, https://www.okenergytoday.com/2018/06/enel-green-power-makes-more-contributions-to-oklahoma-schools/, https://www.chickashanews.com/community/enel-energizes-rush-springs/article_aab75bca-ce1b-11e6-b309-532fafb51582.html",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Elk City I,Roger Mills County,Oklahoma,Fund,2009,ACCIONA Energy,43,98.9,,"- When dedicating the Elk City I project in 2009, ACCIONA announced it will provide the Hammon School District with an annual scholarship of $5,000 to be awarded to a graduating senior each year. ",https://www.oklahoman.com/story/business/information-technology/2009/06/20/elk-city-wind-farm-to-be-dedicated-today/61368780007/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Frontier I & II,Kay County,Oklahoma,Donation/support to local cause,"2016, 2020",Duke Energy Renewables,135,550.0,,"- As of 2022, Duke Energy Foundation had awarded nearly $39,000 in grants through its Duke Energy Sustainable Solutions fund to support schools, community enrichment programs and wildlife rescue organizations in Kay, Washington, and Payne counties. Grants have gone to Nature’s Vein Wildlife Rescue, community education programs, George Miksch Sutton Avian Research Center, city of Newkirk, Newkirk Youth Program, Kildare Public Schools, Newkirk Public Schools, Marland's Place Foster Families Services, and Newkirk Future Farmers of America and 4H Boosters program.","https://news.duke-energy.com/releases/duke-energy-donates-nearly-39-000-to-environmental-programs-in-oklahoma, https://news.duke-energy.com/releases/duke-energy-donates-nearly-35-000-to-community-and-environmental-programs-in-oklahoma",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Goodwell,Texas County,Oklahoma,Donation/support to local cause,2015,Enel Green Power,100,200.0,Fund,"- In 2018, Enel Green Power donated $15,000 to support educational initiatives in the Guymon and Goodwell Public School Districts. Goodwell Public Schools put the funds toward purchasing laptops and a charging cart to create a mobile computer lab for junior high students. Guymon Public Schools used their funding for their Stuff the Bus campaign to buy school supplies for students and teachers.

- Enel donated $150,000 to Oklahoma Panhandle State University, which is in the town of Goodwell, to establish scholarships. The funds support Pathways to Success and Panhandle’s Future initiatives, benefiting students at Panhandle State and High Plains Technology Center pursuing wind technology degrees.","https://www.okenergytoday.com/2018/03/enel-green-donates-to-goodwell-and-guymon-school-districts/, https://opsu.edu/news/2018/02/wind-energy-and-education-majors-to-benefit-from-enel-green-power-goodwell-wind-farm-investment/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Horizon Hill,Logan County,Oklahoma,Payment to government outside of an agreement,2023,TransAlta,33,202.0,,"- In 2023, Horizon Hill Wind contributed $500 to District #3, a unit of government in the Logan County government.",,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Keenan II,Woodward County,Oklahoma,Donation/support to local cause,2010,Competitive Power Ventures,66,152.0,Non-financial,"- Since development of the project began in 2008, Competitive Power Ventures (CPV) has supported local organizations and events, including local fire departments, academic fundraisers, the Future Farmers of America Premium Auction, the Woodward Elks Rodeo, local family service programs, Woodward Education Foundation, High Plains Technology Center, and the Hope Center’s food pantry.

- In 2010, Oklahoma Gas & Electric voluntarily donated $4.9 million to the state wildlife department for protection of prairie chicken habitat in conjunction with Keenan II; funds were to be used for projects such as conservation easements to protect undeveloped land and the state's acquisition of 6,100 acres of land in Beaver County to protect and restore habitat for lesser prairie chickens. Oklahoma Gas & Electric is the utility that purchases power from the wind project.

- CPV participated in the development of the wind technology program at High Plains Tech Center in Woodward, OK.","https://cpv.com/our-projects/cpv-keenan/community-benefits/, https://www.globenewswire.com/en/news-release/2020/12/21/2148690/0/en/Competitive-Power-Ventures-Celebrates-10-Year-Anniversary-of-Keenan-II-Wind-Farm.html, https://www.oklahoman.com/story/sports/columns/2010/07/11/wings-of-change/61228205007/, https://www.wildlifedepartment.com/about/timeline",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Maverick,Major County,Oklahoma,Donation/support to local cause,2021,Tradewind / Invenergy,103,288.0,," - In 2022, following several grass fires in Drummond, OK, Maverick Wind donated funds to purchase a new command vehicle for the Major County Task Force to improve emergency response and communication with firefighters, police, and medical responders.",https://invenergyimpact2022.com/uploads/downloads/Invenergy-Impact-Report-2022.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Origin,Murray County,Oklahoma,Donation/support to local cause,2014,Enel Green Power,75,150.0,,"- In 2019, Origin Wind donated $43,000 to the Hennepin Volunteer Fire Department for essential equipment upgrades. The donation will be used to improve safety equipment, including rebuilding a tanker truck and purchasing a new jaws of life, a critical tool for rescue operations at car accident scenes.",https://www.kxii.com/content/news/Garvin-County-fire-department-receives-43000-donation-506905901.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Osage,Osage County,Oklahoma,Donation/support to local cause,2015,Enel Green Power,84,150.0,Fund,"- In 2018, Enel Green Power partnered with Shidler Public Schools, Woodland Public Schools, and Pawhuska Public Schools to support educational initiatives. This includes funding an annual academic awards banquet so students and parents can attend for free, as well as donations that the schools put toward projects of their choosing; for example, Pawhuska Public Schools used the funding to improve school technology and award three scholarships.

- Enel funds scholarships at high schools in the Osage Wind area; in 2017, two Shidler students and six Woodland students received scholarships from Enel.

- In collaboration with Pawhuska Public Schools, Enel sponsored two local teachers to attend the RECharge Academy, a weeklong workshop on renewable energy. The training helps educators understand the science and impact of renewable energy science and gain effective teaching methods for these concepts. ","https://www.okenergytoday.com/2018/05/enel-green-power-partners-with-3-osage-county-school-districts/, https://nawindpower.com/osage-wind-farm-owner-sends-teachers-to-renewables-training-academy",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,OU Spirit,Woodward County,Oklahoma,Donation/support to local cause,2009,Competitive Power Ventures / Oklahoma Gas and Electric,44,101.0,,"- In 2009, Oklahoma Gas and Electric Co. voluntarily provided $3.75 million to the Oklahoma Department of Wildlife Conservation in conjunction with the OU Spirit project. The majority of the donation was utilized by the Wildlife Department to purchase 4,200 acres for prairie chickens near the Packsaddle Wildlife Management Area in western Oklahoma. ","https://tulsaworld.com/news/local/business/og-amp-e-pays-to-try-to-save-wildfowl/article_0fb614c7-4ea2-5d0f-ae57-94af9c351c4b.html, https://www.mysanantonio.com/news/environment/article/regulators-approve-ou-spirit-wind-farm-plan-858412.php",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
